Workload,CPU,Compute Area (mm^2),Memory Area (mm^2),Total Area (mm^2),Carbon Footprint Min (gCO2e),Carbon Footprint Max (gCO2e)
Food Spoilage Detection,Serv,2.932416,7.730432,10.662848,0.87,1.17
Food Spoilage Detection,Qerv,3.683808,7.730432,11.41424,0.93,1.25
Food Spoilage Detection,Herv,4.495968,7.730432,12.2264,1,1.34
Cardiotocography,Serv,2.932416,24.055872,26.988288,2.2,2.96
Cardiotocography,Qerv,3.683808,24.055872,27.73968,2.26,3.04
Cardiotocography,Herv,4.495968,24.055872,28.55184,2.32,3.13
Arrhythmia Detection,Serv,2.932416,82.23288,85.165296,6.93,9.34
Arrhythmia Detection,Qerv,3.683808,82.23288,85.916688,6.99,9.42
Arrhythmia Detection,Herv,4.495968,82.23288,86.728848,7.06,9.51
Water Quality Detection,Serv,2.932416,3.380576,6.312992,0.51,0.69
Water Quality Detection,Qerv,3.683808,3.380576,7.064384,0.58,0.77
Water Quality Detection,Herv,4.495968,3.380576,7.876544,0.64,0.86
Smart HVAC Monitoring,Serv,2.932416,297.332384,300.2648,24.44,32.92
Smart HVAC Monitoring,Qerv,3.683808,297.332384,301.016192,24.5,33
Smart HVAC Monitoring,Herv,4.495968,297.332384,301.828352,24.57,33.09
Gesture Recognition,Serv,2.932416,1237.712256,1240.644672,100.99,136.02
Gesture Recognition,Qerv,3.683808,1237.712256,1241.396064,101.05,136.1
Gesture Recognition,Herv,4.495968,1237.712256,1242.208224,101.12,136.19
Air Pollution Monitoring,Serv,2.932416,21.536376,24.468792,1.99,2.68
Air Pollution Monitoring,Qerv,3.683808,21.536376,25.220184,2.05,2.76
Air Pollution Monitoring,Herv,4.495968,21.536376,26.032344,2.12,2.85
Odor Detection,Serv,2.932416,5.867456,8.799872,0.72,0.96
Odor Detection,Qerv,3.683808,5.867456,9.551264,0.78,1.05
Odor Detection,Herv,4.495968,5.867456,10.363424,0.84,1.14
Smart Irrigation,Serv,2.932416,7.249856,10.182272,0.83,1.12
Smart Irrigation,Qerv,3.683808,7.249856,10.933664,0.89,1.2
Smart Irrigation,Herv,4.495968,7.249856,11.745824,0.96,1.29
Animal Tracking,Serv,2.932416,657.912736,660.845152,53.8,72.45
Animal Tracking,Qerv,3.683808,657.912736,661.596544,53.86,72.53
Animal Tracking,Herv,4.495968,657.912736,662.408704,53.92,72.62
