Temperature_Sensor_Sample_Input,Humidity_Sensor_Sample_Input,Light_Sensor_Sample_Input,CO2_Sensor_Sample_Input,HumidityRatio_Sensor_Sample_Input,Golden_Reference_Occupancy
30210,18615,0,1591,14640,0
30210,18615,0,1612,14640,0
29677,18517,0,1531,14427,0
30210,18615,0,1335,14640,0
30210,18615,0,1490,14640,0
30210,18615,0,1510,14640,0
30210,18615,0,1673,14640,0
30210,18615,0,1591,14640,0
30210,18615,0,1662,14640,0
30210,18615,0,1450,14640,0
30210,18615,0,1389,14640,0
30210,18615,0,1419,14640,0
30210,18615,0,1591,14640,0
30210,18322,0,1673,14376,0
29410,18469,0,1713,14321,0
30210,18615,0,1713,14640,0
29677,18517,0,1470,14427,0
30210,18322,0,1470,14376,0
30210,18322,0,1591,14376,0
30210,18322,0,1470,14376,0
28611,18000,0,1510,13714,0
28611,18000,0,1591,13714,0
29410,18161,0,1470,14044,0
28611,18000,0,1443,13714,0
28611,17853,0,1429,13582,0
28611,17853,0,1490,13582,0
28611,18000,0,1673,13714,0
28611,18000,0,1591,13714,0
28611,18000,0,1693,13714,0
27173,18000,0,1693,13381,0
27892,17853,0,1673,13416,0
27173,18000,0,1693,13381,0
27892,17853,0,1673,13416,0
28611,17707,0,1835,13451,0
27173,17707,0,1733,13120,0
27173,17707,0,1591,13120,0
28132,17707,0,1848,13340,0
27173,17707,0,1916,13120,0
27173,17707,0,1713,13120,0
27173,17707,0,1713,13120,0
27652,17707,0,1470,13230,0
27173,17707,0,1875,13120,0
27173,17443,0,1794,12885,0
27652,17443,0,1673,12995,0
27173,17443,0,1612,12885,0
27173,17641,0,1784,13061,0
27173,17707,0,1693,13120,0
27173,17443,0,1652,12885,0
27173,17443,0,1835,12885,0
27173,17443,0,1571,12885,0
27173,17443,0,1551,12885,0
27173,17443,0,1740,12885,0
27173,17443,0,1815,12885,0
27173,17443,0,1591,12885,0
27173,17297,0,1551,12754,0
27173,17248,0,1700,12711,0
27173,17150,0,1700,12624,0
27173,17150,0,1693,12624,0
27173,17150,0,1754,12624,0
27173,16857,0,1713,12362,0
27173,16857,0,1571,12362,0
27173,16857,0,1713,12362,0
27173,16857,0,1693,12362,0
27173,16857,0,1578,12362,0
27173,16857,0,1652,12362,0
27173,16857,0,1774,12362,0
27173,16857,0,1794,12362,0
27173,16857,0,1673,12362,0
27173,16857,0,1652,12362,0
27173,16857,0,1794,12362,0
27173,16696,0,1875,12219,0
27173,16857,0,1875,12362,0
27173,16535,0,1703,12075,0
27173,16535,0,1794,12075,0
27173,16535,0,1835,12075,0
27173,16535,0,1470,12075,0
27173,16535,0,1551,12075,0
27173,16535,0,1815,12075,0
27173,16535,15087,1794,12075,1
27173,16616,18054,1926,12147,0
27173,16857,17955,2132,12362,0
27173,16750,17955,2430,12267,0
27532,16857,17757,2352,12444,1
27652,16857,17757,2403,12471,1
27532,16931,17757,2342,12509,1
28251,17297,17418,2646,13001,1
28611,17707,17418,3214,13451,1
29011,17934,17418,3447,13747,1
29144,18420,17305,3498,14215,1
29011,18395,16952,3822,14162,1
30210,18835,16782,4137,14839,1
30210,19172,16782,4147,15143,1
30210,19172,16782,4380,15143,1
30210,19172,16782,4593,15143,1
30210,19269,16881,4633,15231,1
31089,19464,16931,4806,15617,1
31382,19679,17503,4999,15882,1
31968,19787,17418,5272,16120,1
31968,19787,17418,5201,16120,1
31968,19982,17418,5506,16297,1
31968,20080,17469,5698,16386,1
31968,20080,17164,5942,16386,1
31968,20080,17164,6269,16386,1
31968,20373,17164,6337,16652,1
31968,20373,17164,6621,16652,1
32367,20438,17164,6732,16810,1
32367,20438,17460,7016,16810,1
32767,20504,17757,7189,16967,1
32367,20438,17757,7189,16810,1
33566,20548,17757,7094,17202,1
33167,20431,17757,7351,16998,1
32501,20275,17757,7689,16693,1
33167,20570,17757,8041,17125,1
33566,20636,17757,8054,17283,1
33566,20636,17757,8122,17283,1
33566,20460,17757,8203,17122,1
34365,20438,17757,8233,17297,1
35165,20504,17757,8426,17554,1
35165,20636,17757,8838,17675,1
35165,20636,17757,9237,17675,1
36124,20831,17955,9257,18092,1
36603,20856,17905,9653,18234,1
36603,20929,17905,9643,18302,0
36603,20929,17757,9663,18302,1
37136,21037,18153,9812,18534,1
36603,21251,17994,10200,18600,1
37402,21251,18054,10653,18800,1
36603,21398,18202,10636,18736,1
36603,21544,17757,10799,18871,1
37003,21764,18054,11062,19175,1
36603,21837,17757,11218,19142,1
36603,21837,18350,11356,19142,1
37402,21691,18350,11468,19208,1
37136,21544,18350,11380,19005,1
36603,21544,18350,11417,18871,1
37402,21903,18350,11772,19405,1
36603,22101,18350,11833,19387,1
37402,22101,18350,12015,19589,1
37402,22101,18350,12522,19589,1
37136,22101,18082,12746,19521,1
37669,22101,18492,12989,19656,1
37802,22101,18181,13121,19690,1
38202,22101,18181,13354,19792,1
37669,22101,18181,13381,19656,1
37136,22101,18393,13151,19521,1
38202,22035,18817,13242,19730,1
37136,22101,18817,13760,19521,1
38202,22101,18817,13830,19792,1
37802,21903,18721,13526,19506,1
38202,22013,18901,13868,19710,1
38202,22013,18605,13895,19710,1
38202,22101,18923,14013,19792,1
38202,22101,18901,14352,19792,1
38202,22101,19134,14936,19792,1
38641,22174,19293,15118,19972,1
38202,22101,18958,15287,19792,1
39081,22247,18817,15199,20152,1
39374,22296,19311,15206,20273,1
39960,22394,19240,14997,20515,1
39960,22394,19382,14990,20515,1
39960,22394,19240,15139,20515,1
39960,22296,19735,15166,20423,1
39960,22321,19728,15108,20446,1
39960,22101,19904,15220,20240,1
40359,22840,20279,15352,21037,1
40759,22767,19971,16061,21072,1
