date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-05 06:20:00,117,72,0,6,56,0
2015-02-05 06:21:00,117,72,0,6,56,0
2015-02-05 06:22:00,115,72,0,5,56,0
2015-02-05 06:23:00,117,72,0,5,56,0
2015-02-05 06:23:59,117,72,0,5,56,0
2015-02-05 06:24:59,117,72,0,5,56,0
2015-02-05 06:26:00,117,72,0,6,56,0
2015-02-05 06:27:00,117,72,0,6,56,0
2015-02-05 06:28:00,117,72,0,6,56,0
2015-02-05 06:29:00,117,72,0,5,56,0
2015-02-05 06:29:59,117,72,0,5,56,0
2015-02-05 06:30:59,117,72,0,5,56,0
2015-02-05 06:32:00,117,72,0,6,56,0
2015-02-05 06:33:00,117,71,0,6,55,0
2015-02-05 06:34:00,114,71,0,6,55,0
2015-02-05 06:35:00,117,72,0,6,56,0
2015-02-05 06:36:00,115,72,0,5,56,0
2015-02-05 06:36:59,117,71,0,5,55,0
2015-02-05 06:38:00,117,71,0,6,55,0
2015-02-05 06:39:00,117,71,0,5,55,0
2015-02-05 06:40:00,111,70,0,5,53,0
2015-02-05 06:40:59,111,70,0,6,53,0
2015-02-05 06:42:00,114,70,0,5,54,0
2015-02-05 06:42:59,111,70,0,5,53,0
2015-02-05 06:43:59,111,69,0,5,52,0
2015-02-05 06:45:00,111,69,0,5,52,0
2015-02-05 06:46:00,111,70,0,6,53,0
2015-02-05 06:47:00,111,70,0,6,53,0
2015-02-05 06:48:00,111,70,0,6,53,0
2015-02-05 06:49:00,105,70,0,6,52,0
2015-02-05 06:49:59,108,69,0,6,52,0
2015-02-05 06:51:00,105,70,0,6,52,0
2015-02-05 06:52:00,108,69,0,6,52,0
2015-02-05 06:53:00,111,68,0,7,52,0
2015-02-05 06:53:59,105,68,0,6,51,0
2015-02-05 06:55:00,105,68,0,6,51,0
2015-02-05 06:55:59,109,68,0,7,51,0
2015-02-05 06:56:59,105,68,0,7,51,0
2015-02-05 06:58:00,105,68,0,6,51,0
2015-02-05 06:59:00,105,68,0,6,51,0
2015-02-05 07:00:00,107,68,0,5,51,0
2015-02-05 07:01:00,105,68,0,7,51,0
2015-02-05 07:01:59,105,67,0,6,50,0
2015-02-05 07:02:59,107,67,0,6,50,0
2015-02-05 07:04:00,105,67,0,6,50,0
2015-02-05 07:05:00,105,68,0,6,50,0
2015-02-05 07:06:00,105,68,0,6,51,0
2015-02-05 07:07:00,105,67,0,6,50,0
2015-02-05 07:08:00,105,67,0,7,50,0
2015-02-05 07:08:59,105,67,0,6,50,0
2015-02-05 07:09:59,105,67,0,6,50,0
2015-02-05 07:11:00,105,67,0,6,50,0
2015-02-05 07:12:00,105,67,0,7,50,0
2015-02-05 07:13:00,105,67,0,6,50,0
2015-02-05 07:14:00,105,67,0,6,49,0
2015-02-05 07:14:59,105,67,0,6,49,0
2015-02-05 07:15:59,105,66,0,6,49,0
2015-02-05 07:17:00,105,66,0,6,49,0
2015-02-05 07:18:00,105,66,0,6,49,0
2015-02-05 07:19:00,105,65,0,6,48,0
2015-02-05 07:20:00,105,65,0,6,48,0
2015-02-05 07:21:00,105,65,0,6,48,0
2015-02-05 07:21:59,105,65,0,6,48,0
