date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-05 06:20:00,30210,18615,0,1591,14640,0
2015-02-05 06:21:00,30210,18615,0,1612,14640,0
2015-02-05 06:22:00,29677,18517,0,1531,14427,0
2015-02-05 06:23:00,30210,18615,0,1335,14640,0
2015-02-05 06:23:59,30210,18615,0,1490,14640,0
2015-02-05 06:24:59,30210,18615,0,1510,14640,0
2015-02-05 06:26:00,30210,18615,0,1673,14640,0
2015-02-05 06:27:00,30210,18615,0,1591,14640,0
2015-02-05 06:28:00,30210,18615,0,1662,14640,0
2015-02-05 06:29:00,30210,18615,0,1450,14640,0
2015-02-05 06:29:59,30210,18615,0,1389,14640,0
2015-02-05 06:30:59,30210,18615,0,1419,14640,0
2015-02-05 06:32:00,30210,18615,0,1591,14640,0
2015-02-05 06:33:00,30210,18322,0,1673,14376,0
2015-02-05 06:34:00,29410,18469,0,1713,14321,0
2015-02-05 06:35:00,30210,18615,0,1713,14640,0
2015-02-05 06:36:00,29677,18517,0,1470,14427,0
2015-02-05 06:36:59,30210,18322,0,1470,14376,0
2015-02-05 06:38:00,30210,18322,0,1591,14376,0
2015-02-05 06:39:00,30210,18322,0,1470,14376,0
2015-02-05 06:40:00,28611,18000,0,1510,13714,0
2015-02-05 06:40:59,28611,18000,0,1591,13714,0
2015-02-05 06:42:00,29410,18161,0,1470,14044,0
2015-02-05 06:42:59,28611,18000,0,1443,13714,0
2015-02-05 06:43:59,28611,17853,0,1429,13582,0
2015-02-05 06:45:00,28611,17853,0,1490,13582,0
2015-02-05 06:46:00,28611,18000,0,1673,13714,0
2015-02-05 06:47:00,28611,18000,0,1591,13714,0
2015-02-05 06:48:00,28611,18000,0,1693,13714,0
2015-02-05 06:49:00,27173,18000,0,1693,13381,0
2015-02-05 06:49:59,27892,17853,0,1673,13416,0
2015-02-05 06:51:00,27173,18000,0,1693,13381,0
2015-02-05 06:52:00,27892,17853,0,1673,13416,0
2015-02-05 06:53:00,28611,17707,0,1835,13451,0
2015-02-05 06:53:59,27173,17707,0,1733,13120,0
